"N°","Institucion","Departamento","Provincia","Distrito","Representante","Sector"
"145","Asociacion Civil Santa Teresa - Abancay","Apurimac","Abancay","Abancay","Vidal Zapatero,  Cristina","Mujer y Poblaciones Vulnerables/"
"146","Asociacion Civil Selva Amazónica","Loreto","Maynas","Iquitos","Correa Cajachagua,  Maria Del Camen","Salud/"
"147","Asociación Civil sin fines de Lucro Abrazos","Cusco","Cusco","Santiago","Brouwers,  Wilhelmina Agnes Coleta Maria","Salud/"
"148","Asociación Civil sin Fines de Lucro Los Niños del Perú","Cusco","Cusco","San Sebastian","Warner,  Robert Patrick","Mujer y Poblaciones Vulnerables/"
"149","Asociacion Civil sin Fines de Lucro Mundo Primaveral","La Libertad","Pataz","Tayabamba","Ascoy Mauricio,  Ivan Arcangel","Mujer y Poblaciones Vulnerables/Ambiente/Educación/Salud/"
"150","Asociacion Civil sin Fines de Lucro y Servicios Educativos ""Huarayo""","Madre De Dios","Tambopata","Inambari","Guadalupe Zevallos,  Oscar Gustavo","Mujer y Poblaciones Vulnerables/Educación/"
"151","Asociacion Civil Solidarios ABC","Lima","Lima","Miraflores","Picnchi Ramirez,  Zully Arlene","Mujer y Desarrollo Social/Salud/"
"152","Asociacion Civil Tierra Prometida del Milenio","Lambayeque","Chiclayo","Chiclayo","Vasquez Rojas,  Wilmer","Cultura/ Producción/"
"153","Asociacion Civil Trabajando Por Los Pobres Del Peru","Lima","Lima","Santiago De Surco","Rojas Vasquez,  Leandro Victor","Producción/"
"154","Asociacion Civil Villa Milagro","Cajamarca","Cajamarca","Cajamarca","Jean Johnson,  Larry","Educación/Mujer y Desarrollo Social/"
"155","Asociacion Civil Wara","Cusco","Cusco","Wanchaq","Cardenas Vargas,  Wilbert","Agricultura/Mujer y Desarrollo Social/"
"156","Asociacion Compartiendo Vida Y Salud","Lima","Lima","Chorrillos","Carranza Salinas,  Pedro Alfredo","Agricultura/Educación/Mujer y Desarrollo Social/Salud/"
"157","Asociacion Comunión, Promoción, Desarrollo y Liberación COPRODELI","Lima","Callao","Callao","Ranera Sanchez-Pardo,  Miguel","Agricultura/Educación/Justicia/Salud/PCM/"
"158","Asociación Construyendo El Futuro para Niños Peruanos","Cajamarca","Chota","Lajas","Zarate Bustamante,  Jose Leonidas","Mujer y Desarrollo Social/PCM/"
